code,address
1814,612 METROPOLITAN AVENUE
1815,612 METROPOLITAN AVENUE
1816,950 METROPOLITAN AVENUE
1817,95 NEEDHAM ROAD
1818,1344 HYDE PARK AVENUE
1819,1179 RIVER STREET
1820,30 MILLSTONE ROAD
1821,154 RUSKINDALE ROAD
1822,450 POPLAR STREET
1823,400 A GEORGETOWNE DRIVE
1901,493 CENTRE STREET
1902,130 LOUDER'S LANE
1903,493 CENTRE STREET
1904,155 LAMARTINE STREET
1905,29 POND STREET
1906,82 GREEN STREET
1907,6 SOUTHBOURNE ROAD
1908,20 CHILD STREET
1909,20 CHILD STREET
1910,6 CUMMINS HIGHWA
1911,25 COLGATE ROAD
1912,6 SOUTHBOURNE ROAD
1913,6 CUMMINS HIGHWA
2001,39 BELGRADE AVENUE
2002,39 BELGRADE AVENUE
2003,5125 WASHINGTON STREET
2004,39 BELGRADE AVENUE
2005,23 SPRING STREET
2006,535 WEST ROXBURY PARKWAY
2007,535 WEST ROXBURY PARKWAY
2008,1708 CENTRE STREET
2009,236 BEECH STREET
2010,55 EMMONSDALE ROAD
2011,1716 CENTRE STREET
2012,20 MOUNT VERNON STREET
2013,20 MOUNT VERNON STREET
2014,55 EMMONSDALE ROAD
2015,5125 WASHINGTON STREET
2016,35 BAKER STREET
2017,1961 CENTRE STREET
2018,1961 CENTRE STREET
2019,535 WEST ROXBURY PARKWAY
2020,1716 CENTRE STREET
2021,5125 WASHINGTON STREET
2101,105 JERSEY STREET
2102,24 CUMMINGTON MALL
2103,500 CAMBRIDGE STREET
2104,500 CAMBRIDGE STREET
2105,500 CAMBRIDGE STREET
2106,500 CAMBRIDGE STREET
2107,500 CAMBRIDGE STREET
2108,20 WARREN STREET
2109,20 WARREN STREET
2110,95 WASHINGTON STREET
2111,95 WASHINGTON STREET
2112,20 WASHINGTON STREET
2113,30 WALLINGFORD ROAD
2114,198 STRATHMORE ROAD
2115,198 STRATHMORE ROAD
2116,198 STRATHMORE ROAD
2201,300 NORTH HARVARD STREET
2202,300 NORTH HARVARD STREET
2203,20 CHESTNUT HILL AVENUE
2204,615 WASHINGTON STREET
2205,300 NORTH HARVARD STREET
2206,20 WARREN STREET
2207,615 WASHINGTON STREET
2208,60 GLENMONT ROAD
2209,60 GLENMONT ROAD
2210,95 BEECHCROFT STREET
2211,95 BEECHCROFT STREET
2212,95 BEECHCROFT STREET
2213,615 WASHINGTON STREET
