PRECINCT,TOTAL,WHITE,BLACK,HISPANIC,ASIAN,AI,NH,OTHER
1411,2417,86,1473,684,34,16,1,123
1412,1309,32,848,305,21,6,1,96
1413,1765,23,1198,392,27,3,0,122
1414,2186,41,1547,485,3,6,1,103
1501,2737,120,994,975,67,6,2,573
1502,2036,97,912,474,87,17,0,449
1503,1307,133,511,292,54,4,0,313
1504,3237,283,892,632,579,10,0,841
1505,2439,120,1070,658,145,14,0,432
1506,1904,456,242,313,775,9,0,109
1507,1987,160,880,494,73,4,2,374
1508,1804,190,555,369,553,5,3,129
1509,1895,255,474,364,520,8,1,273
1601,2142,345,516,364,789,8,1,119
1602,1378,616,131,130,427,9,0,65
1603,2518,440,861,344,695,13,4,161
1604,2317,578,573,348,626,5,0,187
1605,2315,879,507,284,522,5,0,118
1606,3150,746,868,347,1024,5,0,160
1607,1743,1176,191,107,166,6,0,97
1608,3042,1647,527,302,420,6,5,135
1609,2131,1853,40,52,139,1,0,46
1610,2179,1445,226,146,272,6,0,84
1611,1138,782,151,86,85,7,0,27
1612,1590,1391,89,35,38,2,0,35
1701,2204,88,1245,553,68,11,1,238
1702,1393,100,662,256,226,5,0,144
1703,2933,374,1705,515,137,15,0,187
1704,2952,632,1444,343,309,10,1,213
1705,1786,42,1068,522,50,7,3,94
1706,2018,374,852,422,201,17,2,150
1707,1363,52,929,242,39,4,0,97
1708,2007,105,1213,506,57,26,2,98
1709,1290,451,471,181,99,2,2,84
1710,2626,97,1810,426,99,8,0,186
1711,984,189,498,150,74,10,0,63
1712,1417,160,894,206,61,4,0,92
1713,1796,888,477,165,200,5,1,60
1714,1681,491,800,175,110,5,0,100
1801,3423,179,2152,839,51,18,2,182
1802,2462,25,1902,410,9,19,2,95
1803,2810,51,2191,414,11,4,4,135
1804,2958,67,2293,417,30,3,2,146
1805,2464,95,1896,347,16,7,0,103
1806,2800,100,2065,478,31,9,0,117
1807,2365,461,819,855,120,6,0,104
1808,3961,445,1989,1291,105,2,1,128
1809,2035,881,540,486,68,8,0,52
1810,2917,1642,477,571,139,6,0,82
1811,2392,442,1075,714,78,3,1,79
1812,2367,657,941,607,52,21,1,88
1813,1636,270,791,486,24,8,2,55
1814,1648,186,754,645,19,6,0,38
1815,2540,203,1651,583,30,3,0,70
1816,2413,1192,606,402,111,5,7,90
1817,2430,531,972,790,56,4,0,77
1818,2983,633,1332,863,49,14,0,92
1819,3759,895,1786,821,114,16,2,125
1820,3467,1446,1033,659,136,8,1,184
1821,3109,47,2392,496,11,5,1,157
1822,2214,954,514,602,79,10,0,55
1823,2995,286,1631,928,62,5,0,83
1901,1760,1249,99,216,136,15,0,45
1902,2223,1675,140,159,192,8,3,46
1903,1070,816,48,86,95,2,0,23
1904,2375,1717,131,292,176,6,0,53
1905,1873,1221,210,265,125,10,0,42
1906,2165,1578,113,180,206,12,0,76
1907,2078,1192,191,395,224,12,4,60
1908,1435,1145,76,78,105,2,0,29
1909,1274,728,123,271,91,4,0,57
1910,2571,1138,579,653,92,12,1,96
1911,2673,542,749,1225,88,3,0,66
1912,1592,837,251,385,65,3,2,49
1913,1642,591,414,534,72,2,0,29
2001,2183,1780,114,115,113,9,0,52
2002,2421,1441,276,478,132,10,1,83
2003,2429,1186,483,401,288,9,1,61
2004,1657,1278,82,157,86,7,0,47
2005,2200,1653,113,238,156,6,1,33
2006,2012,1651,52,113,158,6,0,32
2007,1310,1006,57,104,105,3,0,35
2008,1609,1154,115,221,73,7,0,39
2009,1969,1166,227,409,87,9,0,71
2010,2897,1864,308,345,330,7,0,43
2011,1014,827,30,54,89,1,0,13
2012,1387,1114,53,103,84,3,0,30
2013,1169,1022,25,55,39,3,0,25
2014,1223,1075,27,48,64,0,1,8
2015,2580,1695,193,311,286,13,8,74
2016,2638,1856,193,273,255,10,2,49
2017,2746,2076,110,213,252,10,0,85
2018,1321,1050,70,67,108,4,0,22
2019,1420,1120,34,90,138,1,0,37
2020,2807,1971,144,248,361,4,0,79
2021,291,166,35,55,15,3,0,17
2101,4647,2319,206,375,1650,11,5,81
2102,5699,2917,502,547,1625,6,19,83
2103,3923,1927,196,340,1371,16,0,73
2104,2933,1403,136,406,872,1,0,115
2105,2948,1642,123,329,768,4,4,78
2106,2023,1071,85,259,519,15,2,72
2107,2703,1215,267,478,673,14,2,54
2108,3255,1873,103,296,855,20,0,108
2109,3495,1623,367,537,866,11,2,89
2110,2301,1295,227,314,383,9,0,73
2111,2804,1825,112,194,600,16,2,55
2112,2543,1672,108,213,485,9,1,55
2113,3152,1938,117,244,770,9,0,74
2114,1682,1161,64,132,269,22,2,32
2115,2000,1354,77,153,364,12,0,40
2116,6175,4607,392,471,563,42,20,80
2201,4222,2121,273,642,983,16,6,181
2202,4033,1881,331,660,945,14,6,196
2203,3034,2055,80,338,444,9,2,106
2204,2067,1383,97,172,341,7,1,66
2205,2864,1320,215,417,695,14,0,203
2206,1862,1134,45,215,349,5,1,113
2207,2455,1700,97,282,237,13,0,126
2208,2191,1377,87,154,504,13,2,54
2209,2347,1636,68,120,452,3,1,67
2210,2279,1633,103,201,250,8,0,84
2211,1663,1096,63,144,271,7,1,81
2212,2206,926,205,576,345,3,4,147
2213,1513,1138,54,140,150,2,0,29
